City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
285,Neuquen,AR,-38.9516,-68.0591,51.69,46,0,14.97,clear sky
286,Karasjok,NO,69.4719,25.5112,42.91,72,95,18.57,overcast clouds
287,Brumadinho,BR,-20.1433,-44.1997,79.88,56,100,2.39,overcast clouds
288,Naron,ES,43.5167,-8.1528,60.6,93,91,8.97,overcast clouds
289,Kenai,US,60.5544,-151.2583,50.02,88,90,13.8,light rain
290,Bonavista,CA,48.6499,-53.1147,46.4,84,30,9.91,scattered clouds
291,Strezhevoy,RU,60.7333,77.5889,51.78,66,100,10.45,overcast clouds
292,Vanimo,PG,-2.6741,141.3028,79.2,88,100,3.71,heavy intensity rain
293,Lagoa,PT,39.05,-27.9833,63.19,80,50,7.11,scattered clouds
294,Mezhdurechensk,RU,53.6942,88.0603,35.33,90,9,2.1,clear sky
295,Oxbow,CA,49.2333,-102.1676,67.95,44,59,13.06,broken clouds
296,Barra Do Garcas,BR,-15.89,-52.2567,78.04,52,56,4.25,broken clouds
297,Kahului,US,20.8947,-156.47,82.85,65,40,14.97,scattered clouds
298,Kuytun,RU,54.3419,101.5036,35.33,76,100,8.14,overcast clouds
299,Cabedelo,BR,-6.9811,-34.8339,79.47,77,5,12.19,clear sky
300,Guerrero Negro,MX,27.9769,-114.0611,67.1,63,68,21.59,broken clouds
301,Katsuura,JP,35.1333,140.3,70.11,79,99,5.26,overcast clouds
302,Bilma,NE,18.6853,12.9164,91.17,8,37,6.38,scattered clouds
303,Alofi,NU,-19.0595,-169.9187,80.49,89,45,5.75,moderate rain
304,Alasehir,TR,38.3508,28.5172,60.35,76,0,2.04,clear sky
305,Jakar,BT,27.5492,90.7525,55.92,98,100,0.27,overcast clouds
306,Makakilo City,US,21.3469,-158.0858,82.15,57,1,12.66,clear sky
307,Soligalich,RU,59.0778,42.2864,39.02,80,87,8.75,overcast clouds
308,Port Hardy,CA,50.6996,-127.4199,57.38,62,75,3.44,broken clouds
309,Tasiilaq,GL,65.6145,-37.6368,39.36,93,100,12.73,overcast clouds
310,Conakry,GN,9.538,-13.6773,82.47,78,20,9.22,light rain
311,Concepcion Del Uruguay,AR,-32.4825,-58.2372,51.82,66,1,7.18,clear sky
312,Matamoros,MX,25.5333,-103.25,95.11,29,40,16.69,scattered clouds
313,Muchkapskiy,RU,51.8513,42.4717,60.04,91,100,4.9,overcast clouds
314,Buala,SB,-8.145,159.5921,78.67,86,97,1.97,light rain
315,Kampot,KH,10.6167,104.1833,78.85,86,39,4.38,scattered clouds
316,Alugan,PH,12.2188,125.4808,79.21,89,87,4.21,overcast clouds
317,Kindu,CD,-2.95,25.95,72.99,73,77,2.8,broken clouds
318,Boa Vista,BR,2.8197,-60.6733,82.38,78,75,6.91,moderate rain
319,Sitka,US,57.0531,-135.33,55.29,54,40,18.41,scattered clouds
320,Tiruchchendur,IN,8.4833,78.1167,82.0,72,94,8.63,overcast clouds
321,Ono,JP,34.85,134.9333,65.66,71,31,2.42,scattered clouds
322,Ilulissat,GL,69.2167,-51.1,59.02,20,39,16.11,scattered clouds
323,Victoria,HK,22.2855,114.1577,85.96,90,96,1.01,overcast clouds
324,Zhezkazgan,KZ,47.8043,67.7144,70.23,49,53,4.61,broken clouds
325,Anloga,GH,5.7947,0.8973,84.42,79,94,9.57,overcast clouds
326,Okakarara,NA,-20.5833,17.4333,56.7,28,5,5.1,clear sky
327,Nalut,LY,30.3333,10.85,89.94,13,97,6.98,overcast clouds
328,Waddan,LY,29.1614,16.139,86.0,28,59,10.36,broken clouds
329,Ambilobe,MG,-13.2,49.05,69.6,90,0,3.11,clear sky
330,Dikson,RU,73.5069,80.5464,16.59,98,48,4.9,scattered clouds
331,Yar-Sale,RU,66.8333,70.8333,42.85,73,60,8.68,broken clouds
332,Krasnoselkup,RU,65.7,82.4667,37.87,56,12,11.63,few clouds
333,Takhtamygda,RU,54.1,123.5667,49.19,69,15,3.44,few clouds
334,Dickinson,US,29.4608,-95.0513,92.21,58,1,7.83,clear sky
335,La Romana,DO,18.4273,-68.9728,83.93,83,40,9.22,scattered clouds
336,Manaus,BR,-3.1019,-60.025,79.3,89,75,4.61,moderate rain
337,Acapulco,MX,16.8634,-99.8901,91.22,62,90,9.22,overcast clouds
338,Gold Coast,AU,-28.0,153.4333,62.19,71,100,5.99,overcast clouds
339,Pisco,PE,-13.7,-76.2167,66.02,88,90,6.91,overcast clouds
340,Port Macquarie,AU,-31.4333,152.9167,56.89,81,90,14.36,overcast clouds
341,Gat,IL,31.61,34.7642,71.82,84,0,1.1,clear sky
342,Ilo,PE,-17.6394,-71.3375,65.64,87,100,5.64,overcast clouds
343,Quisqueya,DO,18.5554,-69.4081,87.69,65,14,7.92,few clouds
344,Araouane,ML,18.9048,-3.5265,97.63,18,85,1.16,overcast clouds
345,Wajir,KE,1.7471,40.0573,78.48,63,65,15.75,broken clouds
